episode,sim_step,time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,left_driver_joint,left_spring_link_joint,left_follower,right_driver_joint,right_spring_link_joint,right_follower_joint,grasp_box_free.px,grasp_box_free.py,grasp_box_free.pz,grasp_box_free.qw,grasp_box_free.qx,grasp_box_free.qy,grasp_box_free.qz,target_a_shoulder_pan,ctrl_a_shoulder_pan,target_a_shoulder_lift,ctrl_a_shoulder_lift,target_a_elbow,ctrl_a_elbow,target_a_wrist_1,ctrl_a_wrist_1,target_a_wrist_2,ctrl_a_wrist_2,target_a_wrist_3,ctrl_a_wrist_3,target_a_gripper,ctrl_a_gripper
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52171,0.00831,0.035,1.0,0.0,0.0,0.0,-1.5708,-1.5708,-1.5708,-1.5708,1.5708,1.5708,-1.5708,-1.5708,-1.5708,-1.5708,0.0,0.0,0.0,0.0
1,1,0.02,-0.00377,-0.00312,0.00746,-0.00616,-0.00626,0.0,-0.01701,-0.01465,-0.01558,-0.01699,-0.01446,-0.01541,0.52171,0.00831,0.03284,1.0,0.0,0.0,0.0,-0.01571,-0.01571,-0.01571,-0.01571,0.01571,0.01571,-0.01571,-0.01571,-0.01571,-0.01571,0.0,0.0,0.0,0.0
1,2,0.04,-0.0127,-0.01005,0.01899,-0.01618,-0.01637,2e-05,-0.00535,-0.00629,-0.00581,-0.00515,-0.00576,-0.00572,0.52171,0.00831,0.02676,1.0,0.0,0.0,0.0,-0.03142,-0.03142,-0.03142,-0.03142,0.03142,0.03142,-0.03142,-0.03142,-0.03142,-0.03142,0.0,0.0,0.0,0.0
1,3,0.06,-0.02529,-0.02069,0.03215,-0.02854,-0.02874,2e-05,-0.00534,-0.00568,-0.00524,-0.00503,-0.00489,-0.00525,0.52171,0.00831,0.02179,1.0,0.0,-0.0,0.0,-0.04712,-0.04712,-0.04712,-0.04712,0.04712,0.04712,-0.04712,-0.04712,-0.04712,-0.04712,0.0,0.0,0.0,0.0
1,4,0.08,-0.03988,-0.0339,0.04607,-0.04229,-0.04245,2e-05,-0.00539,-0.00567,-0.00517,-0.00502,-0.00474,-0.00525,0.52171,0.00831,0.02253,1.0,0.0,-0.0,0.0,-0.06283,-0.06283,-0.06283,-0.06283,0.06283,0.06283,-0.06283,-0.06283,-0.06283,-0.06283,0.0,0.0,0.0,0.0
1,5,0.1,-0.05537,-0.04855,0.06048,-0.05686,-0.05697,1e-05,-0.00541,-0.00571,-0.00514,-0.005,-0.00469,-0.00527,0.52171,0.00831,0.0236,1.0,0.0,-0.0,-0.0,-0.07854,-0.07854,-0.07854,-0.07854,0.07854,0.07854,-0.07854,-0.07854,-0.07854,-0.07854,0.0,0.0,0.0,0.0
1,6,0.12,-0.07115,-0.0639,0.07528,-0.07191,-0.07196,1e-05,-0.00541,-0.00573,-0.00513,-0.00499,-0.00466,-0.00528,0.52171,0.00831,0.02426,1.0,0.0,-0.0,-0.0,-0.09425,-0.09425,-0.09425,-0.09425,0.09425,0.09425,-0.09425,-0.09425,-0.09425,-0.09425,0.0,0.0,0.0,0.0
1,7,0.14,-0.08698,-0.07952,0.09038,-0.08723,-0.08724,0.0,-0.00542,-0.00575,-0.00513,-0.00499,-0.00465,-0.00528,0.52171,0.00831,0.0246,1.0,0.0,-0.0,-0.0,-0.10996,-0.10996,-0.10996,-0.10996,0.10996,0.10996,-0.10996,-0.10996,-0.10996,-0.10996,0.0,0.0,0.0,0.0
1,8,0.16,-0.10278,-0.09522,0.1057,-0.1027,-0.1027,-0.0,-0.00542,-0.00575,-0.00513,-0.00498,-0.00464,-0.00528,0.52171,0.00831,0.02476,1.0,0.0,-0.0,-0.0,-0.12566,-0.12566,-0.12566,-0.12566,0.12566,0.12566,-0.12566,-0.12566,-0.12566,-0.12566,0.0,0.0,0.0,0.0
1,9,0.18,-0.11854,-0.11093,0.12118,-0.11827,-0.11827,-0.0,-0.00542,-0.00576,-0.00513,-0.00498,-0.00463,-0.00528,0.52171,0.00831,0.02483,1.0,0.0,-0.0,-0.0,-0.14137,-0.14137,-0.14137,-0.14137,0.14137,0.14137,-0.14137,-0.14137,-0.14137,-0.14137,0.0,0.0,0.0,0.0
1,10,0.2,-0.13428,-0.12663,0.13676,-0.13389,-0.13389,-0.0,-0.00542,-0.00576,-0.00513,-0.00498,-0.00463,-0.00528,0.52171,0.00831,0.02486,1.0,0.0,-0.0,-0.0,-0.15708,-0.15708,-0.15708,-0.15708,0.15708,0.15708,-0.15708,-0.15708,-0.15708,-0.15708,0.0,0.0,0.0,0.0
1,11,0.22,-0.15,-0.14233,0.1524,-0.14955,-0.14955,-1e-05,-0.00542,-0.00576,-0.00513,-0.00498,-0.00463,-0.00528,0.52171,0.00831,0.02488,1.0,0.0,0.0,-0.0,-0.17279,-0.17279,-0.17279,-0.17279,0.17279,0.17279,-0.17279,-0.17279,-0.17279,-0.17279,0.0,0.0,0.0,0.0
1,12,0.24,-0.16571,-0.15803,0.16806,-0.16522,-0.16524,-1e-05,-0.00542,-0.00576,-0.00513,-0.00498,-0.00463,-0.00528,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.1885,-0.1885,-0.1885,-0.1885,0.1885,0.1885,-0.1885,-0.1885,-0.1885,-0.1885,0.0,0.0,0.0,0.0
1,13,0.26,-0.18142,-0.17374,0.18375,-0.18091,-0.18093,-1e-05,-0.00542,-0.00576,-0.00513,-0.00498,-0.00463,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.2042,-0.2042,-0.2042,-0.2042,0.2042,0.2042,-0.2042,-0.2042,-0.2042,-0.2042,0.0,0.0,0.0,0.0
1,14,0.28,-0.19713,-0.18945,0.19945,-0.1966,-0.19664,-1e-05,-0.00542,-0.00576,-0.00513,-0.00498,-0.00463,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.21991,-0.21991,-0.21991,-0.21991,0.21991,0.21991,-0.21991,-0.21991,-0.21991,-0.21991,0.0,0.0,0.0,0.0
1,15,0.3,-0.21285,-0.20516,0.21515,-0.2123,-0.21234,-1e-05,-0.00542,-0.00576,-0.00513,-0.00498,-0.00464,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.23562,-0.23562,-0.23562,-0.23562,0.23562,0.23562,-0.23562,-0.23562,-0.23562,-0.23562,0.0,0.0,0.0,0.0
1,16,0.32,-0.22856,-0.22087,0.23086,-0.228,-0.22805,-1e-05,-0.00542,-0.00575,-0.00513,-0.00499,-0.00464,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.25133,-0.25133,-0.25133,-0.25133,0.25133,0.25133,-0.25133,-0.25133,-0.25133,-0.25133,0.0,0.0,0.0,0.0
1,17,0.34,-0.24427,-0.23659,0.24657,-0.2437,-0.24377,-1e-05,-0.00542,-0.00575,-0.00513,-0.00499,-0.00464,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.26704,-0.26704,-0.26704,-0.26704,0.26704,0.26704,-0.26704,-0.26704,-0.26704,-0.26704,0.0,0.0,0.0,0.0
1,18,0.36,-0.25998,-0.25231,0.26228,-0.2594,-0.25948,-1e-05,-0.00542,-0.00575,-0.00514,-0.00499,-0.00464,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.28274,-0.28274,-0.28274,-0.28274,0.28274,0.28274,-0.28274,-0.28274,-0.28274,-0.28274,0.0,0.0,0.0,0.0
1,19,0.38,-0.2757,-0.26804,0.27798,-0.27511,-0.27519,-1e-05,-0.00542,-0.00575,-0.00514,-0.00499,-0.00464,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.29845,-0.29845,-0.29845,-0.29845,0.29845,0.29845,-0.29845,-0.29845,-0.29845,-0.29845,0.0,0.0,0.0,0.0
1,20,0.4,-0.29141,-0.28376,0.29369,-0.29081,-0.2909,-1e-05,-0.00542,-0.00575,-0.00514,-0.00499,-0.00464,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.31416,-0.31416,-0.31416,-0.31416,0.31416,0.31416,-0.31416,-0.31416,-0.31416,-0.31416,0.0,0.0,0.0,0.0
1,21,0.42,-0.30712,-0.29948,0.3094,-0.30651,-0.30662,-1e-05,-0.00542,-0.00575,-0.00514,-0.00499,-0.00465,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.32987,-0.32987,-0.32987,-0.32987,0.32987,0.32987,-0.32987,-0.32987,-0.32987,-0.32987,0.0,0.0,0.0,0.0
1,22,0.44,-0.32283,-0.31521,0.32512,-0.32222,-0.32233,-1e-05,-0.00542,-0.00575,-0.00514,-0.00499,-0.00465,-0.00527,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.34558,-0.34558,-0.34558,-0.34558,0.34558,0.34558,-0.34558,-0.34558,-0.34558,-0.34558,0.0,0.0,0.0,0.0
1,23,0.46,-0.33854,-0.33094,0.34083,-0.33792,-0.33804,-1e-05,-0.00541,-0.00575,-0.00514,-0.00499,-0.00465,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.36128,-0.36128,-0.36128,-0.36128,0.36128,0.36128,-0.36128,-0.36128,-0.36128,-0.36128,0.0,0.0,0.0,0.0
1,24,0.48,-0.35426,-0.34667,0.35654,-0.35362,-0.35376,-1e-05,-0.00541,-0.00574,-0.00514,-0.00499,-0.00465,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.37699,-0.37699,-0.37699,-0.37699,0.37699,0.37699,-0.37699,-0.37699,-0.37699,-0.37699,0.0,0.0,0.0,0.0
1,25,0.5,-0.36997,-0.3624,0.37225,-0.36933,-0.36947,-1e-05,-0.00541,-0.00574,-0.00514,-0.00499,-0.00465,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.3927,-0.3927,-0.3927,-0.3927,0.3927,0.3927,-0.3927,-0.3927,-0.3927,-0.3927,0.0,0.0,0.0,0.0
1,26,0.52,-0.38568,-0.37813,0.38796,-0.38503,-0.38518,-1e-05,-0.00541,-0.00574,-0.00514,-0.00499,-0.00465,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.40841,-0.40841,-0.40841,-0.40841,0.40841,0.40841,-0.40841,-0.40841,-0.40841,-0.40841,0.0,0.0,0.0,0.0
1,27,0.54,-0.40139,-0.39386,0.40367,-0.40073,-0.4009,-1e-05,-0.00541,-0.00574,-0.00514,-0.005,-0.00466,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.42412,-0.42412,-0.42412,-0.42412,0.42412,0.42412,-0.42412,-0.42412,-0.42412,-0.42412,0.0,0.0,0.0,0.0
1,28,0.56,-0.4171,-0.40959,0.41938,-0.41644,-0.41661,-1e-05,-0.00541,-0.00574,-0.00514,-0.005,-0.00466,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.43982,-0.43982,-0.43982,-0.43982,0.43982,0.43982,-0.43982,-0.43982,-0.43982,-0.43982,0.0,0.0,0.0,0.0
1,29,0.58,-0.43281,-0.42533,0.43509,-0.43214,-0.43232,-1e-05,-0.00541,-0.00574,-0.00514,-0.005,-0.00466,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.45553,-0.45553,-0.45553,-0.45553,0.45553,0.45553,-0.45553,-0.45553,-0.45553,-0.45553,0.0,0.0,0.0,0.0
1,30,0.6,-0.44852,-0.44107,0.4508,-0.44784,-0.44804,-1e-05,-0.00541,-0.00574,-0.00515,-0.005,-0.00466,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.47124,-0.47124,-0.47124,-0.47124,0.47124,0.47124,-0.47124,-0.47124,-0.47124,-0.47124,0.0,0.0,0.0,0.0
1,31,0.62,-0.46424,-0.4568,0.46651,-0.46355,-0.46375,-1e-05,-0.00541,-0.00574,-0.00515,-0.005,-0.00466,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.48695,-0.48695,-0.48695,-0.48695,0.48695,0.48695,-0.48695,-0.48695,-0.48695,-0.48695,0.0,0.0,0.0,0.0
1,32,0.64,-0.47995,-0.47254,0.48223,-0.47925,-0.47946,-1e-05,-0.00541,-0.00574,-0.00515,-0.005,-0.00466,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.50266,-0.50266,-0.50266,-0.50266,0.50266,0.50266,-0.50266,-0.50266,-0.50266,-0.50266,0.0,0.0,0.0,0.0
1,33,0.66,-0.49566,-0.48828,0.49794,-0.49495,-0.49517,-1e-05,-0.00541,-0.00573,-0.00515,-0.005,-0.00467,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.51836,-0.51836,-0.51836,-0.51836,0.51836,0.51836,-0.51836,-0.51836,-0.51836,-0.51836,0.0,0.0,0.0,0.0
1,34,0.68,-0.51137,-0.50402,0.51365,-0.51065,-0.51089,-1e-05,-0.00541,-0.00573,-0.00515,-0.005,-0.00467,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.53407,-0.53407,-0.53407,-0.53407,0.53407,0.53407,-0.53407,-0.53407,-0.53407,-0.53407,0.0,0.0,0.0,0.0
1,35,0.7,-0.52708,-0.51976,0.52936,-0.52636,-0.5266,-1e-05,-0.00541,-0.00573,-0.00515,-0.005,-0.00467,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.54978,-0.54978,-0.54978,-0.54978,0.54978,0.54978,-0.54978,-0.54978,-0.54978,-0.54978,0.0,0.0,0.0,0.0
1,36,0.72,-0.54279,-0.53551,0.54507,-0.54206,-0.54231,-1e-05,-0.00541,-0.00573,-0.00515,-0.005,-0.00467,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.56549,-0.56549,-0.56549,-0.56549,0.56549,0.56549,-0.56549,-0.56549,-0.56549,-0.56549,0.0,0.0,0.0,0.0
1,37,0.74,-0.5585,-0.55125,0.56079,-0.55776,-0.55802,-1e-05,-0.00541,-0.00573,-0.00515,-0.005,-0.00467,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.5812,-0.5812,-0.5812,-0.5812,0.5812,0.5812,-0.5812,-0.5812,-0.5812,-0.5812,0.0,0.0,0.0,0.0
1,38,0.76,-0.57421,-0.567,0.5765,-0.57346,-0.57374,-1e-05,-0.0054,-0.00573,-0.00515,-0.005,-0.00467,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.5969,-0.5969,-0.5969,-0.5969,0.5969,0.5969,-0.5969,-0.5969,-0.5969,-0.5969,0.0,0.0,0.0,0.0
1,39,0.78,-0.58992,-0.58274,0.59221,-0.58917,-0.58945,-1e-05,-0.0054,-0.00573,-0.00515,-0.005,-0.00467,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.61261,-0.61261,-0.61261,-0.61261,0.61261,0.61261,-0.61261,-0.61261,-0.61261,-0.61261,0.0,0.0,0.0,0.0
1,40,0.8,-0.60563,-0.59849,0.60792,-0.60487,-0.60516,-1e-05,-0.0054,-0.00573,-0.00515,-0.005,-0.00468,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.62832,-0.62832,-0.62832,-0.62832,0.62832,0.62832,-0.62832,-0.62832,-0.62832,-0.62832,0.0,0.0,0.0,0.0
1,41,0.82,-0.62134,-0.61424,0.62363,-0.62057,-0.62087,-1e-05,-0.0054,-0.00573,-0.00515,-0.00501,-0.00468,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.64403,-0.64403,-0.64403,-0.64403,0.64403,0.64403,-0.64403,-0.64403,-0.64403,-0.64403,0.0,0.0,0.0,0.0
1,42,0.84,-0.63705,-0.62999,0.63935,-0.63627,-0.63658,-1e-05,-0.0054,-0.00573,-0.00515,-0.00501,-0.00468,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.65974,-0.65974,-0.65974,-0.65974,0.65974,0.65974,-0.65974,-0.65974,-0.65974,-0.65974,0.0,0.0,0.0,0.0
1,43,0.86,-0.65276,-0.64574,0.65506,-0.65198,-0.65229,-1e-05,-0.0054,-0.00573,-0.00515,-0.00501,-0.00468,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.67544,-0.67544,-0.67544,-0.67544,0.67544,0.67544,-0.67544,-0.67544,-0.67544,-0.67544,0.0,0.0,0.0,0.0
1,44,0.88,-0.66846,-0.66149,0.67077,-0.66768,-0.668,-1e-05,-0.0054,-0.00573,-0.00515,-0.00501,-0.00468,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.69115,-0.69115,-0.69115,-0.69115,0.69115,0.69115,-0.69115,-0.69115,-0.69115,-0.69115,0.0,0.0,0.0,0.0
1,45,0.9,-0.68417,-0.67725,0.68649,-0.68338,-0.68371,-1e-05,-0.0054,-0.00573,-0.00515,-0.00501,-0.00468,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.70686,-0.70686,-0.70686,-0.70686,0.70686,0.70686,-0.70686,-0.70686,-0.70686,-0.70686,0.0,0.0,0.0,0.0
1,46,0.92,-0.69988,-0.693,0.7022,-0.69908,-0.69942,-1e-05,-0.0054,-0.00573,-0.00515,-0.00501,-0.00468,-0.00526,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.72257,-0.72257,-0.72257,-0.72257,0.72257,0.72257,-0.72257,-0.72257,-0.72257,-0.72257,0.0,0.0,0.0,0.0
1,47,0.94,-0.71559,-0.70876,0.71791,-0.71478,-0.71514,-1e-05,-0.0054,-0.00573,-0.00515,-0.00501,-0.00468,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.73828,-0.73828,-0.73828,-0.73828,0.73828,0.73828,-0.73828,-0.73828,-0.73828,-0.73828,0.0,0.0,0.0,0.0
1,48,0.96,-0.7313,-0.72451,0.73362,-0.73049,-0.73085,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00468,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.75398,-0.75398,-0.75398,-0.75398,0.75398,0.75398,-0.75398,-0.75398,-0.75398,-0.75398,0.0,0.0,0.0,0.0
1,49,0.98,-0.74701,-0.74027,0.74934,-0.74619,-0.74656,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00469,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.76969,-0.76969,-0.76969,-0.76969,0.76969,0.76969,-0.76969,-0.76969,-0.76969,-0.76969,0.0,0.0,0.0,0.0
1,50,1.0,-0.76272,-0.75603,0.76505,-0.76189,-0.76227,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00469,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.7854,-0.7854,-0.7854,-0.7854,0.7854,0.7854,-0.7854,-0.7854,-0.7854,-0.7854,0.0,0.0,0.0,0.0
1,51,1.02,-0.77842,-0.77179,0.78076,-0.77759,-0.77798,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00469,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.80111,-0.80111,-0.80111,-0.80111,0.80111,0.80111,-0.80111,-0.80111,-0.80111,-0.80111,0.0,0.0,0.0,0.0
1,52,1.04,-0.79413,-0.78755,0.79648,-0.79329,-0.79368,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00469,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.81682,-0.81682,-0.81682,-0.81682,0.81682,0.81682,-0.81682,-0.81682,-0.81682,-0.81682,0.0,0.0,0.0,0.0
1,53,1.06,-0.80984,-0.80331,0.81219,-0.80899,-0.80939,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00469,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.83252,-0.83252,-0.83252,-0.83252,0.83252,0.83252,-0.83252,-0.83252,-0.83252,-0.83252,0.0,0.0,0.0,0.0
1,54,1.08,-0.82555,-0.81907,0.8279,-0.82469,-0.8251,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00469,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.84823,-0.84823,-0.84823,-0.84823,0.84823,0.84823,-0.84823,-0.84823,-0.84823,-0.84823,0.0,0.0,0.0,0.0
1,55,1.1,-0.84125,-0.83483,0.84362,-0.8404,-0.84081,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00469,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,-0.86394,-0.86394,-0.86394,-0.86394,0.86394,0.86394,-0.86394,-0.86394,-0.86394,-0.86394,0.0,0.0,0.0,0.0
1,56,1.12,-0.85696,-0.8506,0.85933,-0.8561,-0.85652,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00469,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.87965,-0.87965,-0.87965,-0.87965,0.87965,0.87965,-0.87965,-0.87965,-0.87965,-0.87965,0.0,0.0,0.0,0.0
1,57,1.14,-0.87267,-0.86636,0.87504,-0.8718,-0.87223,-1e-05,-0.0054,-0.00572,-0.00515,-0.00501,-0.00469,-0.00525,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,-0.89536,-0.89536,-0.89536,-0.89536,0.89536,0.89536,-0.89536,-0.89536,-0.89536,-0.89536,0.0,0.0,0.0,0.0
